"DateTime","variable","value","scenario"
2015-08-12,"resp",-0.820408066086502,"baseline"
2015-08-12,"mort",-0.0273469355362167,"baseline"
2015-08-13,"grz",0,"baseline"
2015-08-13,"resp",-0.28768984507255,"baseline"
2015-08-13,"mort",-0.00958966150241834,"baseline"
2015-08-14,"grz",0.677248331507787,"baseline"
2015-08-14,"resp",-0.280158594810519,"baseline"
2015-08-14,"mort",-0.00933861982701729,"baseline"
2015-08-15,"grz",0,"baseline"
2015-08-15,"resp",-0.344761234818035,"baseline"
2015-08-15,"mort",-0.0114920411606012,"baseline"
2015-08-16,"grz",0,"baseline"
2015-08-16,"resp",-0.193795651648197,"baseline"
2015-08-16,"mort",-0.0064598550549399,"baseline"
2015-08-17,"grz",0,"baseline"
2015-08-17,"resp",-0.0984322310418923,"baseline"
2015-08-17,"mort",-0.00328107436806308,"baseline"
2015-08-18,"grz",0,"baseline"
2015-08-18,"resp",-0.0652063048266389,"baseline"
2015-08-18,"mort",-0.0021735434942213,"baseline"
2015-08-19,"grz",0.177812754130711,"baseline"
2015-08-19,"resp",-0.0754304166733535,"baseline"
2015-08-19,"mort",-0.00251434722244512,"baseline"
2015-08-20,"grz",0.304635041258532,"baseline"
2015-08-20,"resp",-0.133112640319948,"baseline"
2015-08-20,"mort",-0.00443708801066494,"baseline"
2015-08-21,"grz",0.481057854052726,"baseline"
2015-08-21,"resp",-0.21606492948153,"baseline"
2015-08-21,"mort",-0.007202164316051,"baseline"
2015-08-22,"grz",0,"baseline"
2015-08-22,"resp",-0.16023267365719,"baseline"
2015-08-22,"mort",-0.00534108912190634,"baseline"
2015-08-23,"grz",0,"baseline"
2015-08-23,"resp",-0.0986209327396546,"baseline"
2015-08-23,"mort",-0.00328736442465515,"baseline"
2015-08-24,"grz",0,"baseline"
2015-08-24,"resp",-0.0671800518730382,"baseline"
2015-08-24,"mort",-0.00223933506243461,"baseline"
2015-08-25,"grz",0,"baseline"
2015-08-25,"resp",-0.0502538493185135,"baseline"
2015-08-25,"mort",-0.00167512831061712,"baseline"
2015-08-26,"grz",0.472700231494484,"baseline"
2015-08-26,"resp",-0.193439835706314,"baseline"
2015-08-26,"mort",-0.00644799452354382,"baseline"
2015-08-27,"grz",0.844277089777971,"baseline"
2015-08-27,"resp",-0.330816744708223,"baseline"
2015-08-27,"mort",-0.0110272248236074,"baseline"
2015-08-28,"grz",0.93685772682642,"baseline"
2015-08-28,"resp",-0.367532880781205,"baseline"
2015-08-28,"mort",-0.0122510960260402,"baseline"
2015-08-29,"grz",1.06273029378923,"baseline"
2015-08-29,"resp",-0.431800655417828,"baseline"
2015-08-29,"mort",-0.0143933551805943,"baseline"
2015-08-30,"grz",1.14819596524044,"baseline"
2015-08-30,"resp",-0.466883853058215,"baseline"
2015-08-30,"mort",-0.0155627951019405,"baseline"
2015-08-31,"grz",1.10964575888057,"baseline"
2015-08-31,"resp",-0.448102364443748,"baseline"
2015-08-31,"mort",-0.0149367454814583,"baseline"
2015-09-01,"grz",1.14771664075976,"baseline"
2015-09-01,"resp",-0.468647591673798,"baseline"
2015-09-01,"mort",-0.0156215863891266,"baseline"
2015-09-02,"grz",1.22869711145367,"baseline"
2015-09-02,"resp",-0.505967339282259,"baseline"
2015-09-02,"mort",-0.0168655779760753,"baseline"
2015-09-03,"grz",1.20718566009144,"baseline"
2015-09-03,"resp",-0.511953775019083,"baseline"
2015-09-03,"mort",-0.0170651258339694,"baseline"
2015-09-04,"grz",1.12148462639151,"baseline"
2015-09-04,"resp",-0.469885201835445,"baseline"
2015-09-04,"mort",-0.0156628400611815,"baseline"
2015-09-05,"grz",1.49905332154562,"baseline"
2015-09-05,"resp",-0.624663656763219,"baseline"
2015-09-05,"mort",-0.0208221218921073,"baseline"
2015-09-06,"grz",1.48683395354346,"baseline"
2015-09-06,"resp",-0.625663339611862,"baseline"
2015-09-06,"mort",-0.0208554446537287,"baseline"
2015-09-07,"grz",0,"baseline"
2015-09-07,"resp",-0.377225475876722,"baseline"
2015-09-07,"mort",-0.0125741825292241,"baseline"
2015-09-08,"grz",0,"baseline"
2015-09-08,"resp",-0.354752184130444,"baseline"
2015-09-08,"mort",-0.0118250728043481,"baseline"
2015-09-09,"grz",1.32693378753924,"baseline"
2015-09-09,"resp",-0.532727828893918,"baseline"
2015-09-09,"mort",-0.0177575942964639,"baseline"
2015-09-10,"grz",0,"baseline"
2015-09-10,"resp",-0.697896034926586,"baseline"
2015-09-10,"mort",-0.0232632011642195,"baseline"
2015-09-11,"grz",0,"baseline"
2015-09-11,"resp",-0.458528207350842,"baseline"
2015-09-11,"mort",-0.0152842735783614,"baseline"
2015-09-12,"grz",0,"baseline"
2015-09-12,"resp",-0.737045518987126,"baseline"
2015-09-12,"mort",-0.0245681839662375,"baseline"
2015-09-13,"grz",0,"baseline"
2015-09-13,"resp",-0.463754074552139,"baseline"
2015-09-13,"mort",-0.015458469151738,"baseline"
2015-09-14,"grz",0,"baseline"
2015-09-14,"resp",-0.34377762964119,"baseline"
2015-09-14,"mort",-0.011459254321373,"baseline"
2015-09-15,"grz",0,"baseline"
2015-09-15,"resp",-0.28046804150073,"baseline"
2015-09-15,"mort",-0.009348934716691,"baseline"
2015-09-16,"grz",0,"baseline"
2015-09-16,"resp",-0.204402219209056,"baseline"
2015-09-16,"mort",-0.00681340730696853,"baseline"
2015-09-17,"grz",0,"baseline"
2015-09-17,"resp",-0.149953330548178,"baseline"
2015-09-17,"mort",-0.00499844435160595,"baseline"
2015-09-18,"grz",0,"baseline"
2015-09-18,"resp",-0.122667858818498,"baseline"
2015-09-18,"mort",-0.00408892862728325,"baseline"
2015-09-19,"grz",0,"baseline"
2015-09-19,"resp",-0.0987917386257854,"baseline"
2015-09-19,"mort",-0.00329305795419285,"baseline"
2015-09-20,"grz",0.197950037380054,"baseline"
2015-09-20,"resp",-0.0744092192046627,"baseline"
2015-09-20,"mort",-0.00248030730682209,"baseline"
2015-09-21,"grz",0.199037146220655,"baseline"
2015-09-21,"resp",-0.074416293142742,"baseline"
2015-09-21,"mort",-0.00248054310475807,"baseline"
2015-09-22,"grz",0.206333019966717,"baseline"
2015-09-22,"resp",-0.0746393032624949,"baseline"
2015-09-22,"mort",-0.0024879767754165,"baseline"
2015-09-23,"grz",0,"baseline"
2015-09-23,"resp",0,"baseline"
2015-09-23,"mort",0,"baseline"
2015-09-24,"grz",0.881926152136046,"baseline"
2015-09-24,"resp",-0.301996944872367,"baseline"
2015-09-24,"mort",-0.0100665648290789,"baseline"
2015-09-25,"grz",1.18776426497583,"baseline"
2015-09-25,"resp",-0.394948213142449,"baseline"
2015-09-25,"mort",-0.0131649404380816,"baseline"
2015-09-26,"grz",1.67951761718453,"baseline"
2015-09-26,"resp",-0.553899594598936,"baseline"
2015-09-26,"mort",-0.0184633198199645,"baseline"
2015-09-27,"grz",1.89797495069768,"baseline"
2015-09-27,"resp",-0.623858788059772,"baseline"
2015-09-27,"mort",-0.0207952929353257,"baseline"
2015-09-28,"grz",1.67458326342967,"baseline"
2015-09-28,"resp",-0.544939056591372,"baseline"
2015-09-28,"mort",-0.0181646352197124,"baseline"
2015-09-29,"grz",2.14511208745989,"baseline"
2015-09-29,"resp",-0.712619467968558,"baseline"
2015-09-29,"mort",-0.0237539822656186,"baseline"
2015-09-30,"grz",0.423955318954874,"baseline"
2015-09-30,"resp",-0.140195944747847,"baseline"
2015-09-30,"mort",-0.00467319815826155,"baseline"
2015-10-01,"grz",0.441651636681085,"baseline"
2015-10-01,"resp",-0.149358053985992,"baseline"
2015-10-01,"mort",-0.00497860179953306,"baseline"
2015-10-02,"grz",0.345225551333325,"baseline"
2015-10-02,"resp",-0.114339937935995,"baseline"
2015-10-02,"mort",-0.00381133126453317,"baseline"
2015-10-03,"grz",0.413831299230807,"baseline"
2015-10-03,"resp",-0.132977209610216,"baseline"
2015-10-03,"mort",-0.00443257365367388,"baseline"
2015-10-04,"grz",0.475053477799119,"baseline"
2015-10-04,"resp",-0.150236312327897,"baseline"
2015-10-04,"mort",-0.00500787707759657,"baseline"
2015-10-05,"grz",0.360953277820707,"baseline"
2015-10-05,"resp",-0.11322475383038,"baseline"
2015-10-05,"mort",-0.00377415846101268,"baseline"
2015-10-06,"grz",0.574085999012994,"baseline"
2015-10-06,"resp",-0.183471995384743,"baseline"
2015-10-06,"mort",-0.00611573317949143,"baseline"
2015-10-07,"grz",0.718944618847318,"baseline"
2015-10-07,"resp",-0.227421505148474,"baseline"
2015-10-07,"mort",-0.00758071683828246,"baseline"
2015-10-08,"grz",0.749310508746889,"baseline"
2015-10-08,"resp",-0.240918723188772,"baseline"
2015-10-08,"mort",-0.00803062410629241,"baseline"
2015-10-09,"grz",0,"baseline"
2015-10-09,"resp",-0.236735433967282,"baseline"
2015-10-09,"mort",-0.00789118113224275,"baseline"
2015-10-10,"grz",0,"baseline"
2015-10-10,"resp",-0.257205790406494,"baseline"
2015-10-10,"mort",-0.00857352634688315,"baseline"
2015-10-11,"grz",0.891596342342189,"baseline"
2015-10-11,"resp",-0.291415816356907,"baseline"
2015-10-11,"mort",-0.00971386054523025,"baseline"
2015-10-12,"grz",1.349934607366,"baseline"
2015-10-12,"resp",-0.449938005022312,"baseline"
2015-10-12,"mort",-0.0149979335007437,"baseline"
2015-10-13,"grz",0,"baseline"
2015-10-13,"resp",-0.278076272434956,"baseline"
2015-10-13,"mort",-0.00926920908116519,"baseline"
2015-10-14,"grz",0,"baseline"
2015-10-14,"resp",-0.204380756140851,"baseline"
2015-10-14,"mort",-0.00681269187136169,"baseline"
2015-10-15,"grz",0.636028083971356,"baseline"
2015-10-15,"resp",-0.209656362469975,"baseline"
2015-10-15,"mort",-0.00698854541566583,"baseline"
2015-10-16,"grz",0.98401898853775,"baseline"
2015-10-16,"resp",-0.320478724311398,"baseline"
2015-10-16,"mort",-0.0106826241437133,"baseline"
2015-10-17,"grz",0,"baseline"
2015-10-17,"resp",-0.527027816103928,"baseline"
2015-10-17,"mort",-0.017567593870131,"baseline"
2015-10-18,"grz",0,"baseline"
2015-10-18,"resp",-0.370125193749305,"baseline"
2015-10-18,"mort",-0.0123375064583102,"baseline"
2015-10-19,"grz",0,"baseline"
2015-10-19,"resp",-0.27533127096025,"baseline"
2015-10-19,"mort",-0.00917770903200834,"baseline"
2015-10-20,"grz",0,"baseline"
2015-10-20,"resp",-0.215740336514395,"baseline"
2015-10-20,"mort",-0.00719134455047982,"baseline"
2015-10-21,"grz",0,"baseline"
2015-10-21,"resp",-0.176376447882602,"baseline"
2015-10-21,"mort",-0.00587921492942008,"baseline"
2015-10-22,"grz",0,"baseline"
2015-10-22,"resp",-0.144215235133921,"baseline"
2015-10-22,"mort",-0.00480717450446402,"baseline"
2015-10-23,"grz",0,"baseline"
2015-10-23,"resp",-0.119558006539298,"baseline"
2015-10-23,"mort",-0.00398526688464328,"baseline"
2015-10-24,"grz",0,"baseline"
2015-10-24,"resp",-0.100350257900224,"baseline"
2015-10-24,"mort",-0.00334500859667414,"baseline"
2015-10-25,"grz",0,"baseline"
2015-10-25,"resp",-0.0795231108903691,"baseline"
2015-10-25,"mort",-0.0026507703630123,"baseline"
2015-10-26,"grz",0,"baseline"
2015-10-26,"resp",-0.0636546781865191,"baseline"
2015-10-26,"mort",-0.0021218226062173,"baseline"
2015-10-27,"grz",0,"baseline"
2015-10-27,"resp",-0.0499591241012984,"baseline"
2015-10-27,"mort",-0.00166530413670995,"baseline"
2015-10-28,"grz",0,"baseline"
2015-10-28,"resp",-0.0385972584041209,"baseline"
2015-10-28,"mort",-0.00128657528013736,"baseline"
2015-10-29,"grz",0,"baseline"
2015-10-29,"resp",-0.0436976886703924,"baseline"
2015-10-29,"mort",-0.00145658962234641,"baseline"
2015-10-30,"grz",0,"baseline"
2015-10-30,"resp",0,"baseline"
2015-10-30,"mort",0,"baseline"
2015-10-31,"grz",0,"baseline"
2015-10-31,"resp",-0.0132146857596477,"baseline"
2015-10-31,"mort",-0.000440489525321588,"baseline"
2015-11-01,"grz",0,"baseline"
2015-11-01,"resp",-0.017964235622028,"baseline"
2015-11-01,"mort",-0.000598807854067602,"baseline"
2015-11-02,"grz",0,"baseline"
2015-11-02,"resp",-0.0173080075005044,"baseline"
2015-11-02,"mort",-0.000576933583350146,"baseline"
2015-11-03,"grz",0,"baseline"
2015-11-03,"resp",-0.017647938846783,"baseline"
2015-11-03,"mort",-0.000588264628226101,"baseline"
2015-11-04,"grz",0.000205002382099792,"baseline"
2015-11-04,"resp",-0.0184986028726586,"baseline"
2015-11-04,"mort",-0.000616620095755287,"baseline"
2015-11-05,"grz",0,"baseline"
2015-11-05,"resp",-0.0198680166667047,"baseline"
2015-11-05,"mort",-0.000662267222223489,"baseline"
2015-11-06,"grz",0.107009479960158,"baseline"
2015-11-06,"resp",-0.041626457150524,"baseline"
2015-11-06,"mort",-0.00138754857168413,"baseline"
2015-11-07,"grz",0.0298372715180936,"baseline"
2015-11-07,"resp",-0.0293027245164074,"baseline"
