"DateTime","Depth","mod_oxy","obs_oxy"
2017-06-22,"1",255.470197343656,278.125
2017-06-22,"10",0,11.5625
2017-06-22,"11",NA,11.875
2017-06-22,"2",253.182064003562,279.375
2017-06-22,"3",251.687453508145,268.4375
2017-06-22,"4",253.413703013118,142.8125
2017-06-22,"5",261.725635038512,96.25
2017-06-22,"6",230.687405231994,29.6875
2017-06-22,"7",207.541291862384,14.375
2017-06-22,"8",123.671710233443,12.8125
2017-06-22,"9",2.11928759339405,11.875
2017-06-29,"0.1",262.514118772161,282.8125
2017-06-29,"1",262.26110843265,289.0625
2017-06-29,"10",0.00191180726905926,13.125
2017-06-29,"11",NA,12.8125
2017-06-29,"2",261.55526389078,284.375
2017-06-29,"3",265.049377390787,194.0625
2017-06-29,"4",272.968692335469,45.3125
2017-06-29,"5",274.218194204345,39.0625
2017-06-29,"6",229.021084100479,14.0625
2017-06-29,"7",198.64710192397,13.125
2017-06-29,"8",85.4025215706537,13.125
2017-06-29,"9",0.000744845196306954,13.125
2017-07-07,"0.1",260.309191456959,265.3125
2017-07-07,"1",266.817966005957,264.6875
2017-07-07,"10",0.00329460789059638,12.1875
2017-07-07,"2",273.163104455907,265.625
2017-07-07,"3",270.934003061063,263.125
2017-07-07,"4",270.934003061063,17.1875
2017-07-07,"5",271.211709275879,13.4375
2017-07-07,"6",225.000403733863,12.5
2017-07-07,"7",181.998940399997,12.5
2017-07-07,"8",35.9952052042321,12.5
2017-07-07,"9",0.00641849603503607,11.875
2017-07-13,"0.1",272.01332054238,262.1875
2017-07-13,"1",270.542390334582,269.6875
2017-07-13,"10",0.00228885896107754,13.125
2017-07-13,"2",265.737134623338,275.625
2017-07-13,"4",269.212051462039,66.5625
2017-07-13,"5",252.491717050402,15.9375
2017-07-13,"6",209.881174425589,14.375
2017-07-13,"7",145.749177823512,13.75
2017-07-13,"8",36.6459208021091,13.125
2017-07-13,"9",0.00238434289741944,13.75
2017-07-20,"0.1",266.586766911592,285
2017-07-20,"1",266.504620157333,289.0625
2017-07-20,"2",266.608367338343,282.1875
2017-07-20,"4",267.142641354255,17.1875
2017-07-20,"5",247.469530271948,13.75
2017-07-20,"6",208.145823014168,13.4375
2017-07-20,"7",131.698668280322,14.0625
2017-07-20,"8",19.5024784548761,13.4375
2017-07-20,"9",0.00226111467664236,13.4375
2017-07-27,"0.1",266.418923150556,256.5625
2017-07-27,"1",263.549470733661,256.875
2017-07-27,"2",261.163831144319,247.1875
2017-07-27,"4",267.701439344093,161.5625
2017-07-27,"5",245.895884006546,14.6875
2017-07-27,"6",215.05017765876,13.75
2017-07-27,"7",128.990553849616,13.125
2017-07-27,"8",10.2510575830296,12.8125
2017-07-27,"9",0,13.125
2017-08-03,"0.1",277.481049915893,263.75
2017-08-03,"1",276.910408214514,271.5625
2017-08-03,"2",273.158529549035,241.5625
2017-08-03,"4",276.112799799164,142.1875
2017-08-03,"5",253.61827515693,14.375
2017-08-03,"6",220.200853302538,11.5625
2017-08-03,"7",126.286736144457,11.5625
2017-08-03,"8",6.25066831411743,11.5625
2017-08-03,"9",0.0117724980753541,11.25
2017-08-10,"0.1",278.310183730564,267.5
2017-08-10,"1",275.861967982879,266.5625
2017-08-10,"10",0,12.5
2017-08-10,"2",271.123072962842,228.125
2017-08-10,"4",274.110335767812,177.8125
2017-08-10,"5",256.715772645669,14.375
2017-08-10,"6",228.436433401967,13.125
2017-08-10,"7",149.583073668572,12.8125
2017-08-10,"8",22.581336557929,12.5
2017-08-10,"9",0,12.5
2017-08-17,"0.1",281.306779855086,271.25
2017-08-17,"1",279.389542267158,285.9375
2017-08-17,"10",0,13.75
2017-08-17,"2",270.746021138222,250.3125
2017-08-17,"4",285.704101887202,147.8125
2017-08-17,"5",263.431089983423,16.5625
2017-08-17,"6",230.432223773304,14.0625
2017-08-17,"7",133.669673316489,14.0625
2017-08-17,"8",6.56866402734781,13.75
2017-08-17,"9",0.000163126890721085,13.75
2017-08-24,"0.1",272.312908996708,260.625
2017-08-24,"1",274.368810575124,261.875
2017-08-24,"2",266.336009056569,260
2017-08-24,"4",299.734825064223,102.8125
2017-08-24,"5",277.691789436765,12.5
2017-08-24,"6",243.220912538723,12.8125
2017-08-24,"7",135.818482242815,11.5625
2017-08-24,"8",0,12.1875
2017-08-24,"9",0,12.1875
2017-09-05,"0.1",299.570704896828,295.625
2017-09-05,"1",299.184513966467,308.125
2017-09-05,"2",291.123624780039,257.8125
2017-09-05,"3",287.900487929116,232.5
2017-09-05,"4",289.393379040542,189.375
2017-09-05,"5",276.918510375209,27.1875
2017-09-05,"6",250.111199801798,17.1875
2017-09-05,"7",163.118402301723,16.25
2017-09-05,"8",28.9237766400885,15.625
2017-09-05,"9",0,15.625
2017-09-19,"0.1",320.437300402015,309.0625
2017-09-19,"1",321.208058294716,311.5625
2017-09-19,"10",0,14.6875
2017-09-19,"2",301.82692618428,246.25
2017-09-19,"3",293.22942508715,199.375
2017-09-19,"4",290.574755452896,156.875
2017-09-19,"5",287.709917913783,20
2017-09-19,"6",272.877060575619,16.25
2017-09-19,"7",228.501310221327,15
2017-09-19,"8",13.5159796687218,15
2017-09-19,"9",0,14.6875
2017-10-03,"0.1",325.045667393546,280.3125
2017-10-03,"1",326.099783120802,284.0625
2017-10-03,"2",327.550063814335,276.5625
2017-10-03,"3",326.910395210944,154.0625
2017-10-03,"4",329.531856095581,20
2017-10-03,"5",286.370242118441,14.0625
2017-10-03,"6",264.084707185097,13.75
2017-10-03,"7",253.261266407936,13.4375
2017-10-03,"8",0,13.125
2017-10-03,"9",0,13.125
2017-10-17,"0.1",292.742923058586,259.6875
2017-10-17,"1",292.439738480238,260.625
2017-10-17,"10",0,8.75
2017-10-17,"11",NA,8.4375
2017-10-17,"2",290.10859749271,260.3125
2017-10-17,"3",281.80334233846,259.6875
2017-10-17,"4",282.627523603615,255
2017-10-17,"5",266.765460321696,225.625
2017-10-17,"6",246.176766884631,34.6875
2017-10-17,"7",173.165967384935,12.5
2017-10-17,"8",33.6541477212722,10.3125
2017-10-17,"9",0,9.375
2017-11-07,"0.1",324.54742881665,241.5625
2017-11-07,"1",323.929411697264,237.8125
2017-11-07,"2",302.311731773545,237.1875
2017-11-07,"3",301.736793297369,226.875
2017-11-07,"4",305.488797762164,206.5625
2017-11-07,"5",308.376530379403,202.5
2017-11-07,"6",319.278177644641,194.0625
2017-11-07,"7",328.893097271884,174.0625
2017-11-07,"8",328.893097271884,155
2017-11-07,"9",328.893097271884,132.1875
2018-05-04,"0.1",315.136841014145,279.615625
2018-05-04,"1",314.845249205008,255.253125
2018-05-04,"10",15.6563719688196,36.896875
2018-05-04,"11",NA,30.48125
2018-05-04,"2",302.957460438985,314.209375
2018-05-04,"3",303.130670495678,301.60625
2018-05-04,"4",302.972360853017,272.59375
2018-05-04,"5",301.298322281979,261.753125
2018-05-04,"6",297.408992056687,239.2125
2018-05-04,"7",286.521439312589,196.825
2018-05-04,"8",234.820019276427,113.875
2018-05-04,"9",93.9253834360356,79.746875
2018-05-11,"0.1",300.497840387265,258.521875
2018-05-11,"1",301.862048728225,264.046875
2018-05-11,"10",6.76918489038761e-05,22.3
2018-05-11,"11",NA,3.165625
2018-05-11,"2",291.196903914844,323.30625
2018-05-11,"3",304.752231147866,310.321875
2018-05-11,"4",300.891923637987,270.290625
2018-05-11,"5",296.755064400559,213.328125
2018-05-11,"6",290.055900977742,160.66875
2018-05-11,"7",276.754496662544,141.39375
2018-05-11,"8",191.573634571227,48.46875
2018-05-11,"9",1.23589988913787,10.01875
2018-05-17,"0.1",276.031579020758,243.8125
2018-05-17,"1",275.221757731123,279.2875
2018-05-17,"10",6.06885821060792e-07,3.478125
2018-05-17,"11",NA,3.334375
2018-05-17,"2",265.227039811136,316.6375
2018-05-17,"3",265.227039811136,299.296875
2018-05-17,"4",300.217033771791,224.978125
2018-05-17,"5",302.062894348088,167.20625
2018-05-17,"6",288.421625130271,139.503125
2018-05-17,"7",271.979821257367,114.715625
2018-05-17,"8",186.949926140215,11.471875
2018-05-17,"9",2.79292993630822,3.915625
2018-05-24,"0.1",260.232157262241,187.2625
2018-05-24,"1",259.586424200168,301.778125
2018-05-24,"10",47.7931008271161,2.965625
2018-05-24,"11",0,2.515625
2018-05-24,"2",256.973440207459,263.278125
2018-05-24,"3",256.916591305543,291.675
2018-05-24,"4",257.200528932618,249.3625
2018-05-24,"5",262.906440748133,177.078125
2018-05-24,"6",265.305668121803,122.525
2018-05-24,"7",256.067444543016,72.965625
2018-05-24,"8",213.256306186843,3.86875
2018-05-24,"9",101.139868104627,3.321875
2018-05-31,"0.1",248.899709008277,187.66875
2018-05-31,"1",248.22213221238,263.34375
2018-05-31,"10",0,3.203125
2018-05-31,"11",0,2.95625
2018-05-31,"2",252.524773218322,335.625
2018-05-31,"3",250.953750739618,272.55
2018-05-31,"4",247.287187212682,249.346875
2018-05-31,"5",249.825114729489,156.875
2018-05-31,"6",256.178590844671,86.03125
2018-05-31,"7",241.701901976726,54.984375
2018-05-31,"8",195.037691273567,3.5375
2018-05-31,"9",37.216209065701,3.684375
2018-06-07,"0.1",251.570813321523,266.83125
2018-06-07,"1",250.779091451085,265.5625
2018-06-07,"10",0,2.828125
2018-06-07,"11",0,2.71875
2018-06-07,"2",250.753866694997,285.459375
2018-06-07,"3",248.671942144244,279.259375
2018-06-07,"4",237.844171994138,187.846875
2018-06-07,"5",246.871323440101,132.58125
2018-06-07,"6",252.261118563997,52.01875
