"DateTime","Depth","mod_chla","obs_chla"
2016-05-26,"1",2.25837240158325,2.5953
2016-05-26,"10",3.68258510850484,2.2165
2016-05-26,"11",3.67882241521682,2.0333
2016-05-26,"2",3.06977990666159,1.628
2016-05-26,"3",3.63094352307226,1.6141
2016-05-26,"4",3.74611623663939,2.5598
2016-05-26,"5",3.81721156389476,4.8984
2016-05-26,"6",3.57583737186017,11.7507
2016-05-26,"7",3.57606272130559,12.1057
2016-05-26,"8",3.52636294578092,5.794
2016-05-26,"9",3.71918035105146,2.4821
2016-05-29,"0.1",2.153182840592,1.9913
2016-05-29,"1",2.38897263569328,2.2771
2016-05-29,"10",3.77129694298344,2.6097
2016-05-29,"11",3.76704795028663,2.3126
2016-05-29,"2",3.2481180792571,2.1907
2016-05-29,"3",3.65438695207173,1.9044
2016-05-29,"4",3.77435823169744,2.8224
2016-05-29,"5",3.86144462267406,4.6187
2016-05-29,"6",3.57136217332727,12.4194
2016-05-29,"7",3.53471422793843,15.7481
2016-05-29,"8",3.77013038911868,8.4722
2016-05-29,"9",3.69193575874393,4.6792
2016-05-31,"0.1",2.22128262471664,2.2409
2016-05-31,"1",2.43322213869694,1.7069
2016-05-31,"10",3.91260507456836,3.1415
2016-05-31,"11",3.90864351738781,1.961
2016-05-31,"2",3.26502859702574,1.7643
2016-05-31,"3",3.61935546259859,2.1954
2016-05-31,"4",3.76834666463897,2.9272
2016-05-31,"5",3.91990844810419,3.399
2016-05-31,"6",3.53132819375081,9.1622
2016-05-31,"7",3.57927280092653,13.4857
2016-05-31,"8",3.72649281040873,7.753
2016-05-31,"9",3.85327856218171,5.9081
2016-06-02,"0.1",2.27947857364244,0.9917
2016-06-02,"1",2.54719837332121,1.2043
2016-06-02,"10",3.9570235768678,2.5571
2016-06-02,"11",3.95235738089311,2.0399
2016-06-02,"2",3.30218533906365,1.8583
2016-06-02,"3",3.62795876488948,2.0331
2016-06-02,"4",3.87170024930586,2.6481
2016-06-02,"5",3.86743104074416,3.4838
2016-06-02,"6",3.57378993291194,9.1571
2016-06-02,"7",3.56601726850462,13.3313
2016-06-02,"8",3.84500745577824,9.2639
2016-06-02,"9",3.97959832550354,5.6189
2016-06-07,"0.1",2.57422345937879,0.8172
2016-06-07,"1",2.61215566446615,0.886
2016-06-07,"10",4.90078945485424,2.2284
2016-06-07,"11",NA,1.9462
2016-06-07,"2",3.29735113663875,2.0433
2016-06-07,"3",3.55371658489221,1.7354
2016-06-07,"4",3.7023706535298,3.6439
2016-06-07,"5",3.79107822454334,5.2949
2016-06-07,"6",3.59543058483834,7.3737
2016-06-07,"7",3.57884444339343,12.4755
2016-06-07,"8",4.27507605345557,10.6524
2016-06-07,"9",4.86204404648101,4.3583
