"DateTime","Depth","mod_nh4","obs_nh4"
2015-07-09,"3",0.783094677221788,0.221729490022173
2015-07-09,"6",9.81025280351007,0.388026607538803
2015-07-09,"9",51.0099433454342,1.21951219512195
2015-07-16,"0.1",1.01358953610079,0.16629711751663
2015-07-16,"3",0.764910944274931,1.10864745011086
2015-07-16,"9",63.3830739438718,3.54767184035477
2015-07-23,"0.1",0.927461726533271,0.277161862527716
2015-07-23,"3",0.341872100512949,0.277161862527716
2015-07-23,"6",10.413381379173,0.277161862527716
2015-07-23,"9",88.9439241812579,19.3458980044346
2015-07-30,"3",0.265490511861665,0.110864745011086
2015-07-30,"9",101.128663175339,14.5787139689579
2015-08-13,"0.1",0.217772693342188,0.0554323725055432
2015-08-13,"3",0.531006904635187,0.0554323725055432
2015-08-13,"6",13.4302220365849,0.388026607538803
2015-08-13,"9",128.571636745275,10.3658536585366
2015-08-20,"3",0.24940182292827,0.110864745011086
2015-08-20,"6",14.374752952576,0.498891352549889
2015-08-20,"9",137.282306795299,24.390243902439
2015-09-04,"3",0.0631428818800447,0.388026607538803
2015-09-04,"6",15.8090417961446,0.221729490022173
2015-09-18,"0.1",0.329275957522748,0.776053215077605
2015-09-18,"3",0.201686463763003,0.16629711751663
2015-10-02,"0.1",0.713315150815771,0.16629711751663
2015-10-02,"3",0.706096132308275,0.443458980044346
2015-10-02,"6",0.64329613790503,0.221729490022173
2015-10-02,"9",90.1411010168122,12.6385809312639
2015-10-23,"0.1",1.95437384653272,0.110864745011086
2015-10-23,"3",1.84779358016724,0.110864745011086
2015-10-23,"6",7.07851843575784,0.16629711751663
2016-04-06,"0.1",1.29361681437393,1.33037694013304
2016-04-06,"11",0.627622970764835,0.942350332594235
2016-04-06,"3",1.10185068119268,0.554323725055432
2016-04-06,"6",2.03664911151308,0.277161862527716
2016-04-06,"9",0.627622970764835,0.388026607538803
2016-04-20,"0.1",2.11526829501739,0.221729490022173
2016-04-20,"11",5.76737268024514,0.554323725055432
2016-04-20,"3",1.29069675960313,0.277161862527716
2016-04-20,"6",1.01089143910569,0.277161862527716
2016-04-20,"9",4.56941824246771,0.332594235033259
2016-05-04,"0.1",1.45583934673821,0.221729490022173
2016-05-04,"11",32.8497322434667,0.831485587583149
2016-05-04,"3",0.938309851164419,0.277161862527716
2016-05-04,"6",1.62268021248983,0.110864745011086
2016-05-04,"9",22.2497613023894,0.277161862527716
2016-05-12,"11",38.0005525315101,2.77161862527716
2016-05-12,"3",0.532670307956717,0.0554323725055432
2016-05-12,"9",24.3449560174328,0.221729490022173
2016-05-19,"11",60.8715158352727,3.99113082039911
2016-05-19,"3",0.579875034894574,0.16629711751663
2016-05-19,"6",2.60242090764812,0.110864745011086
2016-05-19,"9",34.9344289443325,0.332594235033259
2016-05-26,"11",78.5229874885119,16.629711751663
2016-05-26,"3",1.35358159056496,0.110864745011086
2016-05-26,"6",2.91604767700134,0.16629711751663
2016-05-26,"9",48.1280987279405,4.32372505543237
2016-05-29,"0.1",1.90372791043533,0.0554323725055432
2016-05-29,"11",92.4953493558129,13.0820399113082
2016-05-29,"3",1.14916495821452,0.0554323725055432
2016-05-29,"6",2.85734298307102,0.16629711751663
2016-05-31,"0.1",2.04843041118605,0.16629711751663
2016-05-31,"11",95.5470135582901,23.0044345898004
2016-05-31,"6",2.84899575312067,0.16629711751663
2016-05-31,"9",57.8394715188808,0.388026607538803
2016-06-02,"0.1",2.21431502005489,0.388026607538803
2016-06-02,"11",103.973746017952,12.6940133037694
2016-06-02,"3",0.886890548811487,0.443458980044346
2016-06-02,"9",61.8345627879638,0.886917960088692
2016-06-08,"0.1",2.38927905035893,0.332594235033259
2016-06-08,"10",111.570799062701,4.93348115299335
2016-06-08,"3",0.502410388511019,0.277161862527716
2016-06-08,"7",5.37518258702458,0.221729490022173
2016-06-08,"9",74.2182793532322,0.332594235033259
2016-06-16,"11",NA,19.0687361419069
2016-06-16,"9",90.8013236472663,0.554323725055432
2016-06-26,"6",3.38054268567682,0.110864745011086
2016-06-26,"9",122.994623769141,0.221729490022173
2016-06-28,"6",3.44016899931731,0.0554323725055432
2016-07-07,"0.1",0.15470422498858,0.277161862527716
2016-07-07,"11",NA,24.390243902439
2016-07-07,"6",4.62816498389975,0.665188470066519
2016-07-14,"0.1",0.202567277084278,0.110864745011086
2016-07-14,"11",NA,21.7849223946785
2016-07-14,"3",0.296986357259561,0.0554323725055432
2016-07-14,"6",8.98929599106086,0.277161862527716
2016-07-14,"9",164.046830170011,0.388026607538803
2016-07-24,"0.1",0.514873009602582,0.831485587583149
2016-07-24,"11",NA,33.0931263858093
2016-07-24,"3",0.0142386152758852,0.332594235033259
2016-07-24,"6",11.3468018639488,0.277161862527716
2016-07-24,"9",190.301517445139,0.388026607538803
2016-07-28,"3",0.0155537795718355,0.110864745011086
2016-08-04,"11",NA,56.5410199556541
2016-08-04,"3",1.54384452997388,0.221729490022173
2016-08-04,"6",13.010529122728,0.221729490022173
2016-08-04,"9",214.502934741108,7.87139689578714
2016-08-11,"0.1",1.30940846656109,0.221729490022173
2016-08-18,"11",NA,38.2483370288248
2016-08-18,"9",240.759336343105,1.55210643015521
2016-08-23,"11",NA,55.9866962305987
2016-09-16,"0.1",0.241386671763381,0.16629711751663
2016-09-16,"11",NA,87.5831485587583
2016-09-16,"6",14.6010436857013,0.443458980044346
2016-09-16,"9",276.1058278623,8.25942350332594
2016-09-27,"11",300.429736920551,64.8558758314856
2016-09-27,"3",0.707269437229761,0.776053215077605
2016-09-27,"6",15.6786401490559,1.33037694013304
