"DateTime","mod","taxon","value","daily_sum","year","doy","annual_sum","annual_prop","scenario"
2015-07-07,"ZOO","cladoceran",100.481966982949,196.731541520977,2015,188,35950.4445417204,0.547229788195443,"baseline"
2015-07-07,"ZOO","copepod",37.8596404510126,196.731541520977,2015,188,35950.4445417204,0.547229788195443,"baseline"
2015-07-07,"ZOO","rotifer",58.3899340870152,196.731541520977,2015,188,35950.4445417204,0.547229788195443,"baseline"
2015-07-08,"ZOO","cladoceran",101.782411073711,196.828609988102,2015,189,35950.4445417204,0.547499794500964,"baseline"
2015-07-08,"ZOO","copepod",37.8527512194362,196.828609988102,2015,189,35950.4445417204,0.547499794500964,"baseline"
2015-07-08,"ZOO","rotifer",57.1934476949554,196.828609988102,2015,189,35950.4445417204,0.547499794500964,"baseline"
2015-07-09,"ZOO","cladoceran",104.415785468773,197.301053008698,2015,190,35950.4445417204,0.548813945206522,"baseline"
2015-07-09,"ZOO","copepod",36.9667772869392,197.301053008698,2015,190,35950.4445417204,0.548813945206522,"baseline"
2015-07-09,"ZOO","rotifer",55.9184902529863,197.301053008698,2015,190,35950.4445417204,0.548813945206522,"baseline"
2015-07-10,"ZOO","cladoceran",105.61902559099,199.649183219841,2015,191,35950.4445417204,0.555345520103788,"baseline"
2015-07-10,"ZOO","copepod",36.898598366122,199.649183219841,2015,191,35950.4445417204,0.555345520103788,"baseline"
2015-07-10,"ZOO","rotifer",57.1315592627287,199.649183219841,2015,191,35950.4445417204,0.555345520103788,"baseline"
2015-07-11,"ZOO","cladoceran",103.992235281625,202.312713837798,2015,192,35950.4445417204,0.562754414908597,"baseline"
2015-07-11,"ZOO","copepod",41.0904277170966,202.312713837798,2015,192,35950.4445417204,0.562754414908597,"baseline"
2015-07-11,"ZOO","rotifer",57.2300508390761,202.312713837798,2015,192,35950.4445417204,0.562754414908597,"baseline"
2015-07-12,"ZOO","cladoceran",98.6367142622477,203.167849503388,2015,193,35950.4445417204,0.565133066067132,"baseline"
2015-07-12,"ZOO","copepod",47.5464214662091,203.167849503388,2015,193,35950.4445417204,0.565133066067132,"baseline"
2015-07-12,"ZOO","rotifer",56.9847137749315,203.167849503388,2015,193,35950.4445417204,0.565133066067132,"baseline"
2015-07-13,"ZOO","cladoceran",91.0387846886026,202.729188323404,2015,194,35950.4445417204,0.563912883158196,"baseline"
2015-07-13,"ZOO","copepod",55.097995590112,202.729188323404,2015,194,35950.4445417204,0.563912883158196,"baseline"
2015-07-13,"ZOO","rotifer",56.5924080446891,202.729188323404,2015,194,35950.4445417204,0.563912883158196,"baseline"
2015-07-14,"ZOO","cladoceran",79.4330748541459,186.534611039112,2015,195,35950.4445417204,0.518865937311677,"baseline"
2015-07-14,"ZOO","copepod",50.2085359955869,186.534611039112,2015,195,35950.4445417204,0.518865937311677,"baseline"
2015-07-14,"ZOO","rotifer",56.893000189379,186.534611039112,2015,195,35950.4445417204,0.518865937311677,"baseline"
