"DateTime","Depth","mod_temp","obs_temp"
2017-06-08,"8",9.81532080598845,10.2
2017-06-08,"9",8.1364274263313,9.7
2017-06-22,"0.1",26.4510484903193,25.8
2017-06-22,"1",26.0110245305153,25.7
2017-06-22,"10",8.27596271341167,9.2
2017-06-22,"11",NA,8.9
2017-06-22,"2",24.5118250861974,25.6
2017-06-22,"3",23.9442082914868,22.2
2017-06-22,"4",22.7479249538727,18.7
2017-06-22,"5",18.8330046087755,16.2
2017-06-22,"6",11.9588603403645,13.3
2017-06-22,"7",11.1244227238382,11.2
2017-06-22,"8",10.026468881032,10.3
2017-06-22,"9",8.39957612313168,9.6
2017-06-29,"0.1",24.7072305313892,25.1
2017-06-29,"1",24.7055197353909,24.3
2017-06-29,"10",8.38933252830607,9.4
2017-06-29,"11",NA,9.2
2017-06-29,"2",23.7124738839685,23.7
2017-06-29,"3",21.1407340530199,22.4
2017-06-29,"4",18.7300095698208,19.3
2017-06-29,"5",17.3952298074626,16.2
2017-06-29,"6",11.8314059669284,12.6
2017-06-29,"7",11.0886363673063,11.3
2017-06-29,"8",9.49573315444277,10.4
2017-06-29,"9",8.42383290631043,9.8
2017-07-07,"0.1",27.3014149969617,26.1
2017-07-07,"1",25.4905184706032,26
2017-07-07,"10",8.53427857094897,9.1
2017-07-07,"2",20.7545361205138,25.9
2017-07-07,"3",19.7803066139015,25.8
2017-07-07,"4",19.7803066139015,17.4
2017-07-07,"5",15.849023014537,14.1
2017-07-07,"6",11.4810590198845,12.3
2017-07-07,"7",11.0873526974632,10.9
2017-07-07,"8",8.99544473341038,9.9
2017-07-07,"9",8.53725215845108,9.4
2017-07-13,"0.1",26.9304686357109,31.9
2017-07-13,"1",25.9809784452547,29
2017-07-13,"10",8.66419049438297,9.2
2017-07-13,"2",21.9424268545659,27.4
2017-07-13,"4",20.6693599276544,17.4
2017-07-13,"5",14.5399428351179,13.6
2017-07-13,"6",12.1078154186371,12
2017-07-13,"7",11.1725428005825,10.7
2017-07-13,"8",9.06139843029974,10
2017-07-13,"9",8.71996006901924,9.5
2017-07-20,"0.1",27.1340621107492,29.5
2017-07-20,"1",25.2978959484047,29
2017-07-20,"2",21.0349483715405,28.6
2017-07-20,"4",19.8204280095472,15
2017-07-20,"5",14.2276307484438,12.6
2017-07-20,"6",12.1369286087092,11.3
2017-07-20,"7",11.0086591448675,10.4
2017-07-20,"8",9.12718580342428,9.8
2017-07-20,"9",8.81419293464881,9.5
2017-07-27,"0.1",25.597617322157,27
2017-07-27,"1",24.9310213881755,26.6
2017-07-27,"2",22.6019988741069,26.4
2017-07-27,"4",20.1877853150402,16.7
2017-07-27,"5",13.9155256958506,12.7
2017-07-27,"6",12.5914064511643,11.7
2017-07-27,"7",11.1818891944748,10.5
2017-07-27,"8",9.18431329465887,9.8
2017-07-27,"9",8.96072419914733,9.5
2017-08-03,"0.1",25.2863055966403,25.6
2017-08-03,"1",24.8342647825924,25.5
2017-08-03,"2",21.012936042845,24.9
2017-08-03,"4",19.0248847844541,16.7
2017-08-03,"5",13.718575082968,13.2
2017-08-03,"6",12.6170410451206,11.3
2017-08-03,"7",11.5181850506632,10.2
2017-08-03,"8",9.24569763537772,9.8
2017-08-03,"9",9.09144448565649,9.5
2017-08-10,"0.1",24.5155981034016,24.7
2017-08-10,"1",23.7494779937785,24.6
2017-08-10,"10",9.23586476073886,9.2
2017-08-10,"2",20.4399609422364,24.4
2017-08-10,"4",18.9674115924876,18.2
