"DateTime","mod","taxon","value","daily_sum","year","doy","annual_sum","annual_prop","scenario"
2015-07-08,"PHY","cyano",437.35987970027,216.676270100967,2015,189,45852.6458329914,0.472549110666732,"baseline"
2015-07-08,"PHY","green",1062.37688944803,216.676270100967,2015,189,45852.6458329914,0.472549110666732,"baseline"
2015-07-08,"PHY","diatom",1102.76191103442,216.676270100967,2015,189,45852.6458329914,0.472549110666732,"baseline"
2015-07-09,"PHY","cyano",506.50355775357,231.290174862053,2015,190,45852.6458329914,0.504420564310463,"baseline"
2015-07-09,"PHY","green",1115.85460388191,231.290174862053,2015,190,45852.6458329914,0.504420564310463,"baseline"
2015-07-09,"PHY","diatom",1155.66812863264,231.290174862053,2015,190,45852.6458329914,0.504420564310463,"baseline"
2015-07-10,"PHY","cyano",605.857526435818,257.142895956861,2015,191,45852.6458329914,0.560802743844814,"baseline"
2015-07-10,"PHY","green",1195.16649090722,257.142895956861,2015,191,45852.6458329914,0.560802743844814,"baseline"
2015-07-10,"PHY","diatom",1287.51930599481,257.142895956861,2015,191,45852.6458329914,0.560802743844814,"baseline"
2015-07-11,"PHY","cyano",737.141289849657,274.222819880199,2015,192,45852.6458329914,0.598052336781171,"baseline"
2015-07-11,"PHY","green",1237.19042386731,274.222819880199,2015,192,45852.6458329914,0.598052336781171,"baseline"
2015-07-11,"PHY","diatom",1319.3585758641,274.222819880199,2015,192,45852.6458329914,0.598052336781171,"baseline"
2015-07-12,"PHY","cyano",867.246330180728,286.968904534152,2015,193,45852.6458329914,0.625850262991094,"baseline"
2015-07-12,"PHY","green",1252.621549818,286.968904534152,2015,193,45852.6458329914,0.625850262991094,"baseline"
2015-07-12,"PHY","diatom",1326.91563236097,286.968904534152,2015,193,45852.6458329914,0.625850262991094,"baseline"
2015-07-13,"PHY","cyano",1014.61412013412,302.27785319478,2015,194,45852.6458329914,0.659237537340295,"baseline"
2015-07-13,"PHY","green",1277.5515405688,302.27785319478,2015,194,45852.6458329914,0.659237537340295,"baseline"
2015-07-13,"PHY","diatom",1338.49363401958,302.27785319478,2015,194,45852.6458329914,0.659237537340295,"baseline"
2015-07-14,"PHY","cyano",1026.3281207967,293.434923623345,2015,195,45852.6458329914,0.639951999045202,"baseline"
2015-07-14,"PHY","green",1226.05293188399,293.434923623345,2015,195,45852.6458329914,0.639951999045202,"baseline"
2015-07-14,"PHY","diatom",1272.06581495931,293.434923623345,2015,195,45852.6458329914,0.639951999045202,"baseline"
2015-07-15,"PHY","cyano",1036.76033133051,289.207009335071,2015,196,45852.6458329914,0.630731344028536,"baseline"
2015-07-15,"PHY","green",1197.23591169806,289.207009335071,2015,196,45852.6458329914,0.630731344028536,"baseline"
2015-07-15,"PHY","diatom",1239.66914609498,289.207009335071,2015,196,45852.6458329914,0.630731344028536,"baseline"
2015-07-16,"PHY","cyano",1043.0839963195,285.221601529311,2015,197,45852.6458329914,0.622039571212904,"baseline"
2015-07-16,"PHY","green",1182.53838050808,285.221601529311,2015,197,45852.6458329914,0.622039571212904,"baseline"
2015-07-16,"PHY","diatom",1200.17427914097,285.221601529311,2015,197,45852.6458329914,0.622039571212904,"baseline"
2015-07-17,"PHY","cyano",1108.3656325569,294.819393262563,2015,198,45852.6458329914,0.642971387815614,"baseline"
2015-07-17,"PHY","green",1207.27544577534,294.819393262563,2015,198,45852.6458329914,0.642971387815614,"baseline"
2015-07-17,"PHY","diatom",1225.4346541444,294.819393262563,2015,198,45852.6458329914,0.642971387815614,"baseline"
2015-07-18,"PHY","cyano",1186.76140082949,302.616534278465,2015,199,45852.6458329914,0.659976166654988,"baseline"
2015-07-18,"PHY","green",1220.31955655146,302.616534278465,2015,199,45852.6458329914,0.659976166654988,"baseline"
2015-07-18,"PHY","diatom",1227.64623583768,302.616534278465,2015,199,45852.6458329914,0.659976166654988,"baseline"
2015-07-19,"PHY","cyano",1281.40109478347,307.722669240244,2015,200,45852.6458329914,0.671112132462452,"baseline"
2015-07-19,"PHY","green",1192.66507598274,307.722669240244,2015,200,45852.6458329914,0.671112132462452,"baseline"
2015-07-19,"PHY","diatom",1221.99080947836,307.722669240244,2015,200,45852.6458329914,0.671112132462452,"baseline"
2015-07-20,"PHY","cyano",1390.99462385209,321.286729868469,2015,201,45852.6458329914,0.700693981844991,"baseline"
2015-07-20,"PHY","green",1223.08673718458,321.286729868469,2015,201,45852.6458329914,0.700693981844991,"baseline"
2015-07-20,"PHY","diatom",1244.89355141351,321.286729868469,2015,201,45852.6458329914,0.700693981844991,"baseline"
2015-07-21,"PHY","cyano",1608.9841445551,345.986679144404,2015,202,45852.6458329914,0.754562082206964,"baseline"
2015-07-21,"PHY","green",1276.61463769305,345.986679144404,2015,202,45852.6458329914,0.754562082206964,"baseline"
2015-07-21,"PHY","diatom",1270.04722095529,345.986679144404,2015,202,45852.6458329914,0.754562082206964,"baseline"
2015-07-22,"PHY","cyano",1734.85261707648,356.851263465852,2015,203,45852.6458329914,0.778256645790099,"baseline"
2015-07-22,"PHY","green",1286.80655107507,356.851263465852,2015,203,45852.6458329914,0.778256645790099,"baseline"
2015-07-22,"PHY","diatom",1264.4813573368,356.851263465852,2015,203,45852.6458329914,0.778256645790099,"baseline"
2015-07-23,"PHY","cyano",1939.32553044948,378.21427212437,2015,204,45852.6458329914,0.824847214928307,"baseline"
2015-07-23,"PHY","green",1296.0263494595,378.21427212437,2015,204,45852.6458329914,0.824847214928307,"baseline"
2015-07-23,"PHY","diatom",1307.37974257683,378.21427212437,2015,204,45852.6458329914,0.824847214928307,"baseline"
2015-07-24,"PHY","cyano",2161.31141611811,396.703502258297,2015,205,45852.6458329914,0.865170362694458,"baseline"
2015-07-24,"PHY","green",1291.31019321772,396.703502258297,2015,205,45852.6458329914,0.865170362694458,"baseline"
