"DateTime","Depth","PHS_frp"
2015-07-09,3,0.0842358857508682
2015-07-09,6,0.0315884571565756
2015-07-09,9,0.0737064000320096
2015-07-09,12,0.200060228658312
2015-07-16,0.1,0.0421179428754341
2015-07-16,3,0.0631769143131511
2015-07-16,9,0.0737064000320096
2015-07-16,12,0.105294857188585
2015-07-23,0.1,0.0526474285942926
2015-07-23,3,0.0842358857508682
2015-07-23,6,0.0526474285942926
2015-07-23,9,0.105294857188585
2015-07-23,12,0.105294857188585
2015-07-30,3,0.0842358857508682
2015-07-30,9,0.0842358857508682
2015-07-30,12,0.147412800064019
2015-08-13,0.1,0.0631769143131511
2015-08-13,3,0.0421179428754341
2015-08-13,6,0.0737064000320096
2015-08-13,9,0.115824342907444
2015-08-13,12,0.168471771501736
2015-08-20,3,0.115824342907444
2015-08-20,6,0.0631769143131511
2015-08-20,9,0.105294857188585
2015-08-20,12,0.126353828626302
2015-09-04,3,0.0737064000320096
2015-09-04,6,0.126353828626302
2015-09-18,0.1,0.0842358857508682
2015-09-18,3,0.0737064000320096
2015-10-02,0.1,0.0631769143131511
2015-10-02,3,0.0631769143131511
2015-10-02,6,0.0842358857508682
2015-10-02,9,0.105294857188585
2015-10-02,12,0.0421179428754341
2015-10-23,0.1,0.115824342907444
2015-10-23,3,0.0631769143131511
2015-10-23,6,0.0631769143131511
2015-10-23,12,0.0421179428754341
2016-04-06,0.1,0.126353828626302
2016-04-06,3,0.0631769143131511
2016-04-06,6,0.0631769143131511
2016-04-06,9,0.0421179428754341
2016-04-06,11,0.0526474285942926
2016-04-20,0.1,0.0526474285942926
2016-04-20,3,0.0631769143131511
2016-04-20,6,0.0631769143131511
2016-04-20,9,0.0526474285942926
2016-04-20,11,0.0737064000320096
2016-05-04,0.1,0.0737064000320096
2016-05-04,3,0.0421179428754341
2016-05-04,6,0.0526474285942926
2016-05-04,9,0.0421179428754341
2016-05-04,11,0.0421179428754341
2016-05-12,3,0.0842358857508682
2016-05-12,9,0.0315884571565756
2016-05-12,11,0.0421179428754341
2016-05-19,3,0.0737064000320096
2016-05-19,6,0.0421179428754341
2016-05-19,9,0.0526474285942926
2016-05-19,11,0.0421179428754341
2016-05-26,3,0.0737064000320096
2016-05-26,6,0.105294857188585
2016-05-26,9,0.0315884571565756
2016-05-26,11,0.0526474285942926
2016-05-29,0.1,0.0631769143131511
2016-05-29,3,0.0631769143131511
2016-05-29,6,0.0526474285942926
2016-05-29,11,0.0421179428754341
2016-05-31,0.1,0.0526474285942926
2016-05-31,6,0.0737064000320096
2016-05-31,9,0.0526474285942926
2016-05-31,11,0.0737064000320096
2016-06-02,0.1,0.0526474285942926
2016-06-02,3,0.0737064000320096
2016-06-02,9,0.0737064000320096
2016-06-02,11,0.0526474285942926
2016-06-08,0.1,0.0947653714697267
2016-06-08,7,0.0526474285942926
2016-06-08,10,0.0421179428754341
2016-06-08,3,0.0631769143131511
2016-06-08,9,0.0315884571565756
2016-06-16,9,0.0947653714697267
2016-06-16,11,0.0421179428754341
2016-06-26,6,0.0737064000320096
2016-06-26,9,0.0526474285942926
2016-06-28,6,0.0631769143131511
2016-07-07,0.1,0.0526474285942926
2016-07-07,6,0.0842358857508682
2016-07-07,11,0.0315884571565756
2016-07-14,0.1,0.0947653714697267
2016-07-14,3,0.0842358857508682
2016-07-14,6,0.0631769143131511
2016-07-14,9,0.021058971437717
2016-07-14,11,0.0421179428754341
2016-07-24,0.1,0.105294857188585
2016-07-24,3,0.0947653714697267
2016-07-24,6,0.0421179428754341
2016-07-24,9,0.0631769143131511
2016-07-24,11,0.0737064000320096
2016-07-28,3,0.0631769143131511
2016-08-04,3,0.0737064000320096
2016-08-04,6,0.0315884571565756
2016-08-04,11,0.168471771501736
2016-08-04,9,0.0631769143131511
2016-08-11,0.1,0.0842358857508682
2016-08-18,9,0.0421179428754341
2016-08-18,11,0.0526474285942926
2016-08-23,11,0.0631769143131511
2016-09-16,0.1,0.0947653714697267
2016-09-16,6,0.0947653714697267
2016-09-16,9,0.189530742939453
2016-09-16,11,0.105294857188585
2016-09-27,3,0.0947653714697267
2016-09-27,6,0.0631769143131511
2016-09-27,9,0.0737064000320096
2016-09-27,11,0.115824342907444
2016-10-11,0.1,0.0737064000320096
2016-10-11,3,0.0421179428754341
2016-10-11,6,0.0737064000320096
2016-10-11,9,0.021058971437717
2016-10-11,11,0.105294857188585
2016-10-25,0.1,0.0315884571565756
2016-10-25,6,0.0421179428754341
2016-10-25,11,0.0947653714697267
2016-11-11,0.1,0.0421179428754341
2016-11-11,3,0.0631769143131511
2016-11-11,6,0.0421179428754341
2016-11-11,9,0.0842358857508682
2016-11-11,11,0.0631769143131511
2017-03-17,0.1,0.0737064000320096
2017-03-17,3,0.0631769143131511
2017-03-17,6,0.0737064000320096
2017-03-17,9,0.0631769143131511
2017-03-17,11,0.0631769143131511
2017-04-10,0.1,0.105294857188585
2017-04-10,3,0.0947653714697267
2017-04-10,6,0.0842358857508682
2017-04-10,9,0.126353828626302
2017-04-10,11,0.105294857188585
2017-05-05,0.1,0.0947653714697267
2017-05-05,3,0.0842358857508682
2017-05-05,6,0.0421179428754341
2017-05-05,9,0.0526474285942926
2017-05-05,11,0.0631769143131511
2017-05-10,0.1,0.0842358857508682
2017-05-10,3,0.0631769143131511
2017-05-10,6,0.0631769143131511
2017-05-10,9,0.0526474285942926
2017-05-10,11,0.0315884571565756
2017-05-18,0.1,0.0631769143131511
2017-05-18,3,0.0737064000320096
2017-05-18,6,0.0631769143131511
2017-05-18,9,0.0526474285942926
