"DateTime","Depth","NIT_amm"
2015-07-09,3,0.221729490022173
2015-07-09,6,0.388026607538803
2015-07-09,9,1.21951219512195
2015-07-09,12,57.0953436807095
2015-07-16,0.1,0.16629711751663
2015-07-16,3,1.10864745011086
2015-07-16,9,3.54767184035477
2015-07-16,12,30.1552106430155
2015-07-23,0.1,0.277161862527716
2015-07-23,3,0.277161862527716
2015-07-23,6,0.277161862527716
2015-07-23,9,19.3458980044346
2015-07-23,12,44.6230598669623
2015-07-30,3,0.110864745011086
2015-07-30,9,14.5787139689579
2015-07-30,12,71.5077605321508
2015-08-13,0.1,0.0554323725055432
2015-08-13,3,0.0554323725055432
2015-08-13,6,0.388026607538803
2015-08-13,9,10.3658536585366
2015-08-13,12,65.410199556541
2015-08-20,3,0.110864745011086
2015-08-20,6,0.498891352549889
2015-08-20,9,24.390243902439
2015-08-20,12,69.2904656319291
2015-09-04,3,0.388026607538803
2015-09-04,6,0.221729490022173
2015-09-18,0.1,0.776053215077605
2015-09-18,3,0.16629711751663
2015-10-02,0.1,0.16629711751663
2015-10-02,3,0.443458980044346
2015-10-02,6,0.221729490022173
2015-10-02,9,12.6385809312639
2015-10-02,12,37.860310421286
2015-10-23,0.1,0.110864745011086
2015-10-23,3,0.110864745011086
2015-10-23,6,0.16629711751663
2015-10-23,12,43.7361419068736
2016-04-06,0.1,1.33037694013304
2016-04-06,3,0.554323725055432
2016-04-06,6,0.277161862527716
2016-04-06,9,0.388026607538803
2016-04-06,11,0.942350332594235
2016-04-20,0.1,0.221729490022173
2016-04-20,3,0.277161862527716
2016-04-20,6,0.277161862527716
2016-04-20,9,0.332594235033259
2016-04-20,11,0.554323725055432
2016-05-04,0.1,0.221729490022173
2016-05-04,3,0.277161862527716
2016-05-04,6,0.110864745011086
2016-05-04,9,0.277161862527716
2016-05-04,11,0.831485587583149
2016-05-12,3,0.0554323725055432
2016-05-12,9,0.221729490022173
2016-05-12,11,2.77161862527716
2016-05-19,3,0.16629711751663
2016-05-19,6,0.110864745011086
2016-05-19,9,0.332594235033259
2016-05-19,11,3.99113082039911
2016-05-26,3,0.110864745011086
2016-05-26,6,0.16629711751663
2016-05-26,9,4.32372505543237
2016-05-26,11,16.629711751663
2016-05-29,0.1,0.0554323725055432
2016-05-29,3,0.0554323725055432
2016-05-29,6,0.16629711751663
2016-05-29,11,13.0820399113082
2016-05-31,0.1,0.16629711751663
2016-05-31,6,0.16629711751663
2016-05-31,9,0.388026607538803
2016-05-31,11,23.0044345898004
2016-06-02,0.1,0.388026607538803
2016-06-02,3,0.443458980044346
2016-06-02,9,0.886917960088692
2016-06-02,11,12.6940133037694
2016-06-08,0.1,0.332594235033259
2016-06-08,7,0.221729490022173
2016-06-08,10,4.93348115299335
2016-06-08,3,0.277161862527716
2016-06-08,9,0.332594235033259
2016-06-16,9,0.554323725055432
2016-06-16,11,19.0687361419069
2016-06-26,6,0.110864745011086
2016-06-26,9,0.221729490022173
2016-06-28,6,0.0554323725055432
2016-07-07,0.1,0.277161862527716
2016-07-07,6,0.665188470066519
2016-07-07,11,24.390243902439
2016-07-14,0.1,0.110864745011086
2016-07-14,3,0.0554323725055432
2016-07-14,6,0.277161862527716
2016-07-14,9,0.388026607538803
2016-07-14,11,21.7849223946785
2016-07-24,0.1,0.831485587583149
2016-07-24,3,0.332594235033259
2016-07-24,6,0.277161862527716
2016-07-24,9,0.388026607538803
2016-07-24,11,33.0931263858093
2016-07-28,3,0.110864745011086
2016-08-04,3,0.221729490022173
2016-08-04,6,0.221729490022173
2016-08-04,11,56.5410199556541
2016-08-04,9,7.87139689578714
2016-08-11,0.1,0.221729490022173
2016-08-18,9,1.55210643015521
2016-08-18,11,38.2483370288248
2016-08-23,11,55.9866962305987
2016-09-16,0.1,0.16629711751663
2016-09-16,6,0.443458980044346
2016-09-16,9,8.25942350332594
2016-09-16,11,87.5831485587583
2016-09-27,3,0.776053215077605
2016-09-27,6,1.33037694013304
2016-09-27,9,5.54323725055432
2016-09-27,11,64.8558758314856
2016-10-11,0.1,0.388026607538803
2016-10-11,3,0.16629711751663
2016-10-11,6,0.221729490022173
2016-10-11,9,1.99556541019956
2016-10-11,11,53.2705099778271
2016-10-25,0.1,0.221729490022173
2016-10-25,6,0.332594235033259
2016-10-25,11,74.8337028824834
2016-11-11,0.1,3.49223946784922
2016-11-11,3,3.76940133037694
2016-11-11,6,3.93569844789357
2016-11-11,9,3.88026607538803
2016-11-11,11,4.15742793791574
2017-03-17,0.1,0.554323725055432
2017-03-17,3,0.886917960088692
2017-03-17,6,0.498891352549889
2017-03-17,9,0.332594235033259
2017-03-17,11,0.443458980044346
2017-04-10,0.1,0.16629711751663
2017-04-10,3,1.10864745011086
2017-04-10,6,0.776053215077605
2017-04-10,9,0.498891352549889
2017-04-10,11,1.05321507760532
2017-05-05,0.1,1.21951219512195
2017-05-05,3,0.609756097560976
2017-05-05,6,0.277161862527716
2017-05-05,9,0.997782705099778
2017-05-05,11,6.1529933481153
2017-05-10,0.1,0.388026607538803
2017-05-10,3,0.277161862527716
2017-05-10,6,0.443458980044346
2017-05-10,9,2.54988913525499
2017-05-10,11,7.26164079822616
2017-05-18,0.1,0.277161862527716
2017-05-18,3,0.332594235033259
2017-05-18,6,0.498891352549889
2017-05-18,9,19.9556541019956
2017-05-18,11,25.6651884700665
2017-05-25,0.1,0.609756097560976
2017-05-25,3,0.443458980044346
2017-05-25,6,0.554323725055432
2017-05-25,9,5.04434589800444
2017-05-25,11,31.1529933481153
2017-05-30,0.1,0.388026607538803
