"DateTime","dens.elv_0","dens.elv_0.666626763463401","dens.elv_1.3332535269268","dens.elv_1.9998802903902","dens.elv_2.6665070538536","dens.elv_3.333133817317","dens.elv_3.9997605807804","dens.elv_4.6663873442438","dens.elv_5.3330141077072","dens.elv_5.99964087117061","dens.elv_6.66626763463401","dens.elv_7.33289439809741","dens.elv_7.99952116156081","dens.elv_8.66614792502421","dens.elv_9.33277468848761","dens.elv_9.99940145195101","dens.elv_10.6660282154144","dens.elv_11.3326549788778","dens.elv_11.9992817423412","dens.elv_12.6659085058046"
2000-07-09,999.973147683736,999.973147683736,999.972586347465,999.889764585161,999.80085070919,999.723080003675,999.691989780956,999.631723697707,999.506284406636,999.096470250012,998.555225763609,997.90509285644,997.159309317295,997.05365146764,997.045548432854,996.997776404013,996.997606410885,NA,NA,NA
2000-07-10,999.934690564338,999.934690564338,999.934690564338,999.878651387809,999.799890822537,999.691977155719,999.672770292309,999.621468892487,999.505659760751,998.998488498212,998.426139036447,997.795814314726,997.091567466516,996.97876226316,996.956831508191,996.798743840114,996.784188956029,NA,NA,NA
2000-07-11,999.884680923223,999.884680923223,999.884680923223,999.857205720839,999.796941407307,999.66809577714,999.655199059283,999.612995535258,999.503562914415,998.909898296522,998.308361283846,997.710926050381,997.062580412884,997.006630990329,996.804262228509,996.663566987557,996.662729298237,NA,NA,NA
2000-07-12,999.850463887655,999.850463887655,999.850463887655,999.840797188717,999.791982914025,999.649920729662,999.63828225471,999.604504088526,999.495940701124,998.830419833449,998.194553168699,997.627329079657,997.037231939219,996.885569801161,996.75810627182,996.593716274374,996.593407708367,NA,NA,NA
2000-07-13,999.830068213605,999.830068213605,999.830068213605,999.829458034903,999.790598533105,999.634037707954,999.62588752037,999.597303478354,999.492827332946,998.679232591931,997.964395063623,997.181475482718,996.805181526511,996.787163542788,996.787163542788,996.514382217854,996.457001605827,NA,NA,NA
2000-07-14,999.81920814731,999.81920814731,999.81920814731,999.817306738374,999.775309281484,999.628458690905,999.607621433441,999.585225564719,999.448121025928,998.644673692331,997.775576094629,996.994055338326,996.739395109208,996.731566505116,996.731566505116,996.537438758502,996.534653432521,NA,NA,NA
2000-07-15,999.812300093172,999.812300093172,999.812300093172,999.810558415373,999.774177388209,999.616829596456,999.59701386592,999.57554976622,999.43611450237,998.58024139341,997.680319568811,996.935983611675,996.705313664438,996.559700507511,996.544750888971,996.440155490248,996.4232486967,NA,NA,NA
2000-07-16,999.807505826609,999.807603620285,999.807715351109,999.806547543568,999.776312393456,999.605489894572,999.588873898932,999.568677516641,999.434393155931,998.508876543826,997.608052213219,996.912364643884,996.641797338874,996.498643259722,996.483058220339,996.350487829321,996.350138130106,NA,NA,NA
2000-07-17,999.804545257265,999.804545257265,999.804545257265,999.803783028802,999.7781587998,999.596122141731,999.582313706773,999.564030605586,999.436732072529,998.442965482894,997.554784307223,996.915008804178,996.625652365426,996.584249992435,996.499458260363,996.372878576546,996.364883498992,NA,NA,NA
2000-07-18,999.80185107785,999.801896705513,999.801964624538,999.801730984404,999.778580016869,999.587532234007,999.575340711031,999.558280385472,999.435721542762,998.378924527023,997.497460602468,996.903413809899,996.614979670493,996.477654633046,996.436818331376,996.182500804996,996.162273601489,NA,NA,NA
2000-07-19,999.799829715004,999.799846278161,999.799977410248,999.799579184588,999.77771399374,999.580915437114,999.569141982555,999.553315122649,999.432719364672,998.328119713035,997.448728483284,996.903385026517,996.620165120309,996.36640316828,996.199759549577,996.168663511085,996.160516699508,NA,NA,NA
2000-07-20,999.798084120496,999.798134220403,999.798191454109,999.797928524382,999.778730743177,999.573878572312,999.564248337718,999.549636779538,999.437042568563,998.267439501188,997.406600980371,996.901792318339,996.625281935328,996.364212279996,996.200915612844,996.122478376671,996.098047241581,NA,NA,NA
2000-07-21,999.79632307311,999.796351124179,999.796453164261,999.796318046085,999.777666562581,999.567787545222,999.558506940275,999.544766239154,999.435565299435,998.216090360825,997.359749459271,996.888250499807,996.601364845791,996.363636082766,996.184242294452,996.046842108566,996.046432736085,NA,NA,NA
2000-07-22,999.794662282452,999.794741878253,999.794838904834,999.794734932332,999.776376998023,999.562460139637,999.553342955878,999.540364557171,999.433768213613,998.17067834714,997.317915519797,996.87729763255,996.59378242473,996.32211654079,996.083741932491,995.942645925214,995.883977684727,NA,NA,NA
2000-07-23,999.793270278204,999.793270278204,999.793284661985,999.793215519214,999.775221096547,999.557614204462,999.548825631869,999.536673052507,999.433152558076,998.128203979064,997.282186065991,996.870752994882,996.58955848796,996.309929217125,995.968443120276,995.81405766859,995.770269555469,NA,NA,NA
2000-07-24,999.791603357859,999.79171276662,999.791784187062,999.791697195186,999.772704433927,999.553674732614,999.544019632487,999.532758923977,999.428411756398,998.097129414969,997.247209474584,996.86204060169,996.578565374993,996.210859055247,995.936957099005,995.828129618704,995.795120697296,NA,NA,NA
2000-07-25,999.790185536916,999.790185536916,999.790269102619,999.790215246172,999.772111350729,999.548951071355,999.540068752498,999.529643476248,999.428956935293,998.057971487392,997.217804738538,996.855986721607,996.577254782699,996.166994531428,995.866782793753,995.741338605889,995.636743042964,NA,NA,NA
2000-07-26,999.788791911142,999.788791911142,999.788791911142,999.788847502738,999.771606990379,999.544580339307,999.536653098039,999.527045042776,999.430761262529,998.021406879029,997.193777852354,996.855373421413,996.586368811263,996.172442232385,995.836693636308,995.67194969384,995.610888330158,NA,NA,NA
