"DateTime","dens.elv_0","dens.elv_0.710526315789474","dens.elv_1.42105263157895","dens.elv_2.13157894736842","dens.elv_2.84210526315789","dens.elv_3.55263157894737","dens.elv_4.26315789473684","dens.elv_4.97368421052632","dens.elv_5.68421052631579","dens.elv_6.39473684210526","dens.elv_7.10526315789474","dens.elv_7.81578947368421","dens.elv_8.52631578947368","dens.elv_9.23684210526316","dens.elv_9.94736842105263","dens.elv_10.6578947368421","dens.elv_11.3684210526316","dens.elv_12.0789473684211","dens.elv_12.7894736842105","dens.elv_13.5"
2000-07-09,999.973157524591,999.973157524591,999.972117742326,999.840933410757,999.77485231588,999.715713276356,999.671966645057,999.594607742466,999.361026055535,998.774611378309,998.140937011553,997.30724437004,997.026468569826,996.87503662802,996.806332024387,996.507868749847,NA,NA,NA,NA
2000-07-10,999.934820250648,999.934820250648,999.934436247427,999.878929780612,999.761593889293,999.689792858687,999.656988942614,999.587374755348,999.361720985594,998.638637151559,998.038380483263,997.375940643925,996.921650420933,996.519500691246,996.495511234451,996.337438685301,NA,NA,NA,NA
2000-07-11,999.884789940842,999.884789940842,999.884602648461,999.85753011953,999.750441998443,999.667654176539,999.642603704864,999.580805528561,999.35534670127,998.513144005244,997.936815587782,997.292491841357,996.813423546823,996.42618860151,996.263422775662,996.248647260542,NA,NA,NA,NA
2000-07-12,999.850566922123,999.850566922123,999.850504411632,999.841468715183,999.735462051793,999.648913709306,999.629179082305,999.574363266781,999.345138565252,998.397024726397,997.841594984257,997.219475850345,996.717191163977,996.468350722281,996.124774351748,996.124184464618,NA,NA,NA,NA
2000-07-13,999.830120364198,999.830120364198,999.830117585697,999.829729871093,999.727676991916,999.634138489566,999.617265016313,999.568479920551,999.310101968106,998.234231402666,997.481592356251,996.735516646085,996.592916130253,996.592916130253,996.168299034494,995.937409268383,NA,NA,NA,NA
2000-07-14,999.819181151436,999.819181151436,999.819181151436,999.809096455763,999.710640858039,999.630541733198,999.593258332464,999.531097342883,999.179864629966,998.141696077825,997.213533257887,996.649324933977,996.58735753435,996.58735753435,996.215339741418,996.074578181476,NA,NA,NA,NA
2000-07-15,999.811976107092,999.811976107092,999.81197417108,999.801298364819,999.702529624296,999.62004419625,999.577934859523,999.506022049526,999.135893459438,998.061420658895,997.056101967984,996.662969418149,996.348202019023,996.258371755486,996.184524202938,995.950261237223,NA,NA,NA,NA
2000-07-16,999.807044432163,999.807115852107,999.807198266962,999.799593890849,999.700711702327,999.608691996598,999.569767046634,999.500472323012,999.131871729839,997.97788318376,997.098068057679,996.701120357891,996.160400143124,996.074637302885,995.935243417247,995.875107118249,NA,NA,NA,NA
2000-07-17,999.804037665437,999.804037665437,999.804136543892,999.798695309396,999.699819384495,999.599058371312,999.564840805041,999.501435101009,999.139198147625,997.903468824532,997.085359332969,996.633791033052,996.396393982952,996.190651924993,995.911070577987,995.89996726684,NA,NA,NA,NA
2000-07-18,999.801588365095,999.801588365095,999.801658889131,999.797218752043,999.696072388698,999.591428671723,999.557685311512,999.496947580175,999.12506913143,997.834043902764,997.068151071519,996.633272780196,996.463488979451,996.202426764408,995.784641930194,995.622533220721,NA,NA,NA,NA
2000-07-19,999.799515545493,999.799556791868,999.799750258758,999.795871016766,999.693909243242,999.582229443817,999.553070256902,999.492397920901,999.109043849112,997.775784198395,997.05529390129,996.659255007646,996.343681869729,996.08414614437,995.717133274397,995.603780663037,NA,NA,NA,NA
2000-07-20,999.797811523178,999.7978904535,999.797976225733,999.7950167654,999.693152051475,999.572856594713,999.550035262247,999.492840289014,999.112452795412,997.716559012612,997.041892970738,996.677274918585,996.363161427669,995.960601516409,995.674688115466,995.598991801795,NA,NA,NA,NA
2000-07-21,999.79617173944,999.796205415537,999.796308157599,999.793963631084,999.691459057425,999.564914969706,999.546104090618,999.493183069199,999.116998517243,997.656062897531,997.01992989683,996.67833144761,996.330028694466,995.977467172221,995.551608768711,995.545058843387,NA,NA,NA,NA
2000-07-22,999.794676755661,999.794681294938,999.794756750534,999.792871684221,999.689495098468,999.558589735326,999.542245969636,999.49324168493,999.117906194263,997.602834944526,997.003417383589,996.681735774678,996.320152997442,995.79664360715,995.536427486213,995.294751807388,NA,NA,NA,NA
2000-07-23,999.793103185753,999.793115035924,999.793246514868,999.791737192073,999.687334979846,999.553065221497,999.538675014376,999.49340456837,999.120492568552,997.552269044548,996.985877632491,996.680137123722,996.294093276087,995.75019604339,995.294421767338,995.293945496074,NA,NA,NA,NA
2000-07-24,999.791559585649,999.791614653426,999.791752157068,999.790464020622,999.684971208116,999.54752593847,999.534992013086,999.492979950589,999.117450534026,997.50828562571,996.971468623851,996.68078532023,996.272953634818,995.556793649154,995.34356066131,995.214346458174,NA,NA,NA,NA
2000-07-25,999.790061047133,999.790123779793,999.790229304496,999.789260955461,999.682721709705,999.542887808978,999.531985792612,999.493407740742,999.123184089943,997.464618291029,996.957334406642,996.681524458942,996.262056779836,995.455040252972,995.213516963903,995.107232178797,NA,NA,NA,NA
